snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor
32,proxy_rejected_stratified_diverse,0.19701826236800196,0,1.0,0.18138309166096928,0.18138309166096928,1.0,1.0,0.0156351707070327,1.0,0.5146321070234113,5.895397253204725
32,random_final_population,0.19701826236800196,0,1.0,0.18206303625095893,0.18206303625095893,1.0,1.0,0.014955226117043016,1.0,0.4088628762541806,4.749182051721364
33,action_diverse,0.24095027656588391,0,0.0,0.0,0.00877399062899567,0.0,0.0,0.23217628593688824,1.0,0.6404682274247492,5.9485738204219585
33,proxy_hard,0.24095027656588391,0,0.0,0.0,0.005941980469894054,0.0,0.0,0.23500829609598986,1.0,0.9882943143812709,4.933290268758364
33,proxy_rejected_stratified_diverse,0.24095027656588391,0,0.0,0.0,0.00877399062899567,0.0,0.0,0.23217628593688824,1.0,0.4736622073578595,6.11814381365634
33,random_final_population,0.24095027656588391,0,0.0,0.0,0.001948734881059816,0.0,0.0,0.2390015416848241,1.0,0.47951505016722407,4.738872900847387
34,action_diverse,0.0034209929913609424,1,0.0,0.0,0.0,0.0,1.0,0.003555435635170566,1.0,0.44314381270903014,6.350745798281185
34,proxy_hard,0.0034209929913609424,1,0.0,0.0,0.0005227957716447415,0.0,1.0,0.002898197219716201,1.0,0.9882943143812709,4.506494817814164
34,proxy_rejected_stratified_diverse,0.0034209929913609424,1,0.0,0.0,0.0,0.0,1.0,0.003593974803163725,1.0,0.4724080267558528,6.5531504989955005
34,random_final_population,0.0034209929913609424,1,0.0,0.0,0.00048320193183896184,0.0,1.0,0.0029377910595219806,1.0,0.4460702341137124,4.767371561204621
35,action_diverse,0.11750937377348888,0,1.0,0.032757827558624567,0.032757827558624567,0.0,0.0,0.08475154621486432,1.0,0.45861204013377926,6.604649155356444
35,proxy_hard,0.11750937377348888,0,0.0,0.0,0.005929247485555178,0.0,0.0,0.1115801262879337,1.0,0.9882943143812709,5.855697804422794
35,proxy_rejected_stratified_diverse,0.11750937377348888,0,0.0,0.0,0.0,0.0,0.0,0.13166850525076298,1.0,0.5062709030100334,7.215382615746249
35,random_final_population,0.11750937377348888,0,1.0,0.03863543331304989,0.03863543331304989,0.0,0.0,0.078873940460439,1.0,0.6542642140468227,5.465623781529782
36,action_diverse,8.673617379884035e-17,1,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-17,1.0,0.5894648829431438,4.987220137121348
