snapshot,budget,start_distance_m,nominal_support_success,terminal_success,event_success,terminal_final_distance_m,event_final_distance_m,terminal_final_stage,event_final_stage
9,32,0.22015042664774964,1,1,1,0.01623302572170566,0.01623302572170566,5,5
10,32,0.264324594247964,1,1,1,0.03464973133952922,0.026886395837370285,5,5
11,32,0.33096736857069503,1,1,1,0.0315484022249637,0.01680831386219188,5,5
12,32,0.184663496658143,1,1,1,0.03845232378712733,0.03845232378712733,5,5
13,32,0.2593175189634804,1,1,1,0.022160429365979444,0.02030852169981042,5,5
14,32,0.18860668017569868,1,1,1,0.009481657691090028,0.02457700208694398,5,5
15,32,0.1845868209274934,1,1,1,0.03409301791135632,0.03207040004170958,5,5
16,32,0.28120264045171484,1,1,1,0.02624459200383186,0.02624459200383186,5,5
17,32,0.17946741012891024,1,1,1,0.009093726392394011,0.009093726392394011,5,5
18,32,0.14049092449580516,1,1,1,0.03069861891570128,0.007116964999287476,5,5
19,32,0.1952738954696596,1,1,1,0.03079093067727543,0.03079093067727543,5,5
20,32,0.19655936532078017,1,1,1,0.008887519075755303,0.020409473315976135,5,5
21,32,0.19965531707399134,1,1,1,0.017767528292132323,0.03125942429616445,5,5
22,32,0.22734463518499592,1,1,1,0.004546124112370049,0.029039290469854765,5,5
23,32,0.18495769113850521,1,1,1,0.017294439357255945,0.017294439357255945,5,5
24,32,0.2089557900647726,1,1,1,0.02889261466273874,0.02889261466273874,5,5
25,32,0.16482744824391166,1,1,1,0.02148600178795553,0.03154771580410226,5,5
26,32,0.09676026213781098,1,1,1,0.01633208371326664,0.029394515039020776,5,5
27,32,0.14365807855482193,1,1,1,0.03561733525143223,0.0325581967862384,5,5
28,32,0.09362200530573357,1,1,1,0.03197728872980826,0.03197728872980826,5,5
29,32,0.23270436834579666,1,1,1,0.020930509106229452,0.03218343429929889,5,5
30,32,0.28892070788529844,1,1,1,0.02027484860768376,0.0249280301890922,5,5
31,32,0.14684589910462859,1,1,1,0.0028237078360783463,0.0028237078360783463,5,5
32,32,0.1302225960494281,1,1,1,0.0028419149823892824,0.025828279765436408,5,5
33,32,0.16461269942469695,1,1,1,0.03200441996535117,0.03622437053165194,5,5
34,32,0.1775154812547883,1,1,1,0.028664004710203767,0.028664004710203767,5,5
35,32,0.10349977284305495,1,1,1,0.02379449514370559,0.016631876477751956,5,5
36,32,0.3229063649783822,1,1,1,0.007654856054598672,0.01794672761664565,5,5
37,32,0.17460550519132523,1,1,1,0.014792599552310298,0.03500553040915815,5,5
38,32,0.21349351542868203,1,1,1,0.01776865410138108,0.007475424686137907,5,5
39,32,0.16856402138478876,1,1,1,0.00942426841373684,0.015906710441124506,5,5
40,32,0.20919364370029375,1,1,1,0.03491514064371717,0.01928675085462394,5,5
41,32,0.20383009811066755,1,1,1,0.03937315825650923,0.03261773227992902,5,5
42,32,0.2311040091272266,1,1,1,0.030825450430074983,0.03382224989471746,5,5
43,32,0.2235626247206218,1,1,1,0.03177663294179385,0.016185484443316356,5,5
44,32,0.28200590132924663,1,1,1,0.022661659679012458,0.025249827048779757,5,5
45,32,0.14655909568806888,1,1,1,0.03599498117896459,0.02137329126485846,5,5
46,32,0.17113198744503832,1,1,1,0.038388318861193885,0.034575626854458016,5,5
47,32,0.3137582430429397,1,1,1,0.01753795869252687,0.026962283347010268,5,5
48,32,0.19898209055746022,1,1,1,0.029734311753882074,0.02685029804309016,5,5
49,32,0.15760926296185374,1,1,1,0.037746249163921095,0.02385826866183471,5,5
50,32,0.10599481211425192,1,1,1,0.018928973401224045,0.018928973401224045,5,5
51,32,0.3022862731809545,1,1,1,0.03193734872136965,0.020635684389031874,5,5
52,32,0.26692497013059546,1,1,1,0.019096990783503253,0.032902996293023914,5,5
53,32,0.12888886863938356,1,1,1,0.025948104474701427,0.026322138139821708,5,5
54,32,0.15181858944232912,1,1,1,0.03698693175943783,0.022471113526477963,5,5
