snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor,mean_proxy_instability,mean_cem_disagreement
50,cem_disagreement_diverse,5.413137880891017e-12,1,0.0,0.0,0.0,0.0,1.0,5.413137880891017e-12,1.0,0.8060200668896321,4.510123833826991,0.1303908993001618,0.4841137123745819
50,proxy_instability_diverse,5.413137880891017e-12,1,0.0,0.0,0.0,0.0,1.0,5.413137880891017e-12,1.0,0.44356187290969906,4.874032686600531,0.3085719442684487,-0.18770903010033446
50,random_final_population,5.413137880891017e-12,1,0.0,0.0,0.0,0.0,1.0,5.413137880891017e-12,1.0,0.4569397993311037,4.238039646902337,0.16405702838218772,-0.03469899665551841
51,action_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6375418060200669,6.961818468391655,0.13703318565338685,-0.17056856187290972
51,cem_disagreement_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7558528428093646,5.202976149303161,0.21218031482946836,0.33570234113712377
51,proxy_instability_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2721571906354515,5.619909887842997,0.38308977454438636,-0.2738294314381271
51,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5338628762541806,5.152711132408911,0.22093939949732555,-0.10158862876254181
52,action_diverse,0.03972971128773157,1,1.0,0.028542905043047646,0.028542905043047646,0.0,1.0,0.011186806244683923,1.0,0.6300167224080269,5.516714921893598,0.18703902663786046,-0.2357859531772575
52,cem_disagreement_diverse,0.03972971128773157,1,0.0,0.0,0.013420234778328027,0.0,1.0,0.026309476509403542,1.0,0.7098662207357859,4.642542420452006,0.23443700787517888,0.4222408026755853
52,proxy_instability_diverse,0.03972971128773157,1,1.0,0.02945436182491111,0.02945436182491111,0.0,1.0,0.01027534946282046,1.0,0.34364548494983277,5.1419196806712195,0.3797023019011905,-0.3494983277591973
52,random_final_population,0.03972971128773157,1,1.0,0.02733016480450117,0.02733016480450117,0.0,1.0,0.0123995464832304,1.0,0.5986622073578596,4.255481741189499,0.25629189768765115,0.05183946488294315
53,action_diverse,0.11583880078900975,0,0.0,0.0,0.00048136442636065313,0.0,0.0,0.1153574363626491,1.0,0.520066889632107,5.7151441967651095,0.2105765930238034,-0.21362876254180604
53,cem_disagreement_diverse,0.11583880078900975,0,1.0,0.07685150742731506,0.07685150742731506,1.0,1.0,0.0389872933616947,1.0,0.7913879598662208,5.348845742438353,0.20080626122579684,0.38001672240802675
53,proxy_instability_diverse,0.11583880078900975,0,1.0,0.08752692498682293,0.08752692498682293,1.0,1.0,0.02831187580218682,1.0,0.3942307692307693,5.243049724959128,0.37851790956628145,-0.2545986622073579
53,random_final_population,0.11583880078900975,0,0.0,0.0,0.00015644756179566954,0.0,0.0,0.11568235322721408,1.0,0.6024247491638797,4.5891861062817645,0.15743844120750014,0.0317725752508361
54,action_diverse,0.0204491118883127,1,0.0,0.0,0.00055959072426481,0.0,1.0,0.01988952116404789,1.0,0.5158862876254181,5.621780614590254,0.08732993295829869,-0.14882943143812707
54,cem_disagreement_diverse,0.0204491118883127,1,0.0,0.0,0.00036813367123717314,0.0,1.0,0.020080978217075527,1.0,0.7976588628762541,4.957454848374619,0.11037642772634687,0.4686454849498327
54,proxy_instability_diverse,0.0204491118883127,1,0.0,0.0,0.00036813367123717314,0.0,1.0,0.020080978217075527,1.0,0.6747491638795987,5.029785811542753,0.17728394940206257,0.05811036789297659
54,random_final_population,0.0204491118883127,1,0.0,0.0,0.0005082262102270134,0.0,1.0,0.019940885678085687,1.0,0.5622909698996655,4.559967153321104,0.12982786479219738,-0.03469899665551835
55,action_diverse,0.031088787236123242,1,0.0,0.0,0.0025680010426698575,0.0,1.0,0.028520786193453385,1.0,0.5815217391304348,7.8030612175824885,0.16998430616318627,-0.1112040133779264
55,cem_disagreement_diverse,0.031088787236123242,1,0.0,0.0,0.0007146021550376545,0.0,1.0,0.030374185081085588,1.0,0.7859531772575251,7.188336360785774,0.14648863348614538,0.3277591973244147
55,proxy_instability_diverse,0.031088787236123242,1,0.0,0.0,0.0025680010426698575,0.0,1.0,0.028520786193453385,1.0,0.4627926421404682,7.245199311322418,0.2539554694995998,-0.2495819397993311
55,random_final_population,0.031088787236123242,1,0.0,0.0,0.0,0.0,1.0,0.03298163674925654,1.0,0.5919732441471572,5.276805127455609,0.23597584944857236,0.07775919732441475
56,action_diverse,0.0037298614043071747,1,0.0,0.0,0.0,0.0,1.0,0.0037298614043071747,1.0,0.592391304347826,5.273155876337276,0.1397568883963726,-0.18979933110367897
56,cem_disagreement_diverse,0.0037298614043071747,1,0.0,0.0,0.0,0.0,1.0,0.0037298614043071747,1.0,0.8319397993311037,4.818226848986115,0.16548767880297868,0.3904682274247492
56,proxy_instability_diverse,0.0037298614043071747,1,0.0,0.0,0.0,0.0,1.0,0.0037298614043071747,1.0,0.5769230769230769,5.116993525753792,0.2554427610702934,-0.15635451505016723
56,random_final_population,0.0037298614043071747,1,0.0,0.0,0.0,0.0,1.0,0.0037298614043071747,1.0,0.5547658862876255,4.3377366932621,0.17802512234792484,0.08570234113712374
57,action_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5342809364548495,5.759834591694315,0.21963171312376137,-0.12750836120401335
57,cem_disagreement_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7324414715719063,4.847962979126471,0.2092664516778705,0.4540133779264214
57,proxy_instability_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3352842809364549,5.176933066360183,0.3343889402422529,-0.24540133779264214
