dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status,s_z,s_g,beta
metaworld,mw-assembly,dino_wm_metaworld+metric_blend,contact_manipulation,341,86,0.004691420355811715,0.0038574954960495234,0.04222143410509853,0.024994461806934903,0.06453982873895878,0.09272181877847088,0.049124578301042575,0.14884416019228236,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-assembly,dino_wm_metaworld+metric_blend,free_space,200,6,0.004691420355811715,0.0032802859786897898,0.004044371734602591,0.0,0.011500583131571348,0.1348123911534197,0.1348123911534197,0.1348123911534197,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-assembly,dino_wm_metaworld+metric_blend,pre_grasp,599,21,0.004691420355811715,0.0032392474822700024,0.10599860895901345,0.06757031649298322,0.14890816361975107,0.5461070250926662,0.11180038392299806,0.8558521341760592,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-button-press,dino_wm_metaworld+metric_blend,contact_manipulation,106,38,0.004691420355811715,0.004405501764267683,0.5690945198840996,0.48706055227081807,0.6709603387627932,0.7632064048052004,0.6414599489356753,0.8803201572209979,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-button-press,dino_wm_metaworld+metric_blend,free_space,334,72,0.004691420355811715,0.0040998635813593864,0.06194464191795937,0.03203106538043622,0.09947668195490428,0.12827392866109608,0.08246175642844096,0.17609393597792952,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-button-press,dino_wm_metaworld+metric_blend,pre_grasp,700,47,0.004691420355811715,0.003575771115720272,0.9358280272034962,0.8325578823073491,1.0332664610345133,1.1664438620283517,0.9422957044552126,1.3800871621360191,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-close,dino_wm_metaworld+metric_blend,contact_manipulation,315,266,0.004691420355811715,0.0074560679495334625,2.4027377423456033,2.3186432982120873,2.4853063570879192,2.7501464878636255,2.677900778026246,2.8255926522446058,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-close,dino_wm_metaworld+metric_blend,free_space,825,466,0.004691420355811715,0.005916253197938204,1.8645662554689217,1.718146279254755,2.031173249648599,2.833121202679529,2.7020581137814066,2.999203345539033,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-open,dino_wm_metaworld+metric_blend,contact_manipulation,531,455,0.004691420355811715,0.006069275550544262,0.5213205381949382,0.440016103952171,0.5995824870220557,0.5370507422085693,0.44536704362796053,0.6270027029151675,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-open,dino_wm_metaworld+metric_blend,free_space,346,187,0.004691420355811715,0.005021813791245222,0.2836074192825255,0.20278279447062345,0.38090220012535525,0.4066721828411455,0.26800213358266667,0.5907606309545937,ok,169.30589294433594,0.12760527431964874,1.0
