snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,best_improvement_per_query_m,any_success_gain,selected_success_any,best_selected_distance_m,native_rejected_fraction,auxiliary_prefers_fraction,directional_positive_fraction,mean_crod_score,mean_native_rank_fraction,mean_auxiliary_rank_fraction,mean_action_distance_from_anchor
83,dino_best_rejected,0.026529625226145766,1,0.0,0.0,0.001592600084425022,0.00019907501055312776,0.0,1.0,0.024937025141720744,1.0,1.0,1.0,0.022540277777777777,0.2833333333333333,0.011666666666666667,5.0851806065686525
83,native_uncertainty_diverse,0.026529625226145766,1,0.0,0.0,0.0025320286701498163,0.00031650358376872703,0.0,1.0,0.02399759655599595,1.0,0.0,0.0,0.0,0.6733333333333333,0.47958333333333336,6.229477824689956
83,random_rejected,0.026529625226145766,1,0.0,0.0,0.005986292246147686,0.0007482865307684608,0.0,1.0,0.02054333297999808,1.0,0.125,0.125,0.0019249999999999998,0.5575,0.5833333333333334,4.85567115637639
83,rejected_action_diverse,0.026529625226145766,1,0.0,0.0,0.0010421172145361896,0.0001302646518170237,0.0,1.0,0.025487508011609577,1.0,0.125,0.125,0.003269444444444444,0.6104166666666666,0.42833333333333334,7.017299454469445
84,action_diverse,0.028520748569716866,1,0.0,0.0,0.014957384600437261,0.0018696730750546577,0.0,1.0,0.013563363969279605,1.0,0.375,0.375,0.08391111111111112,0.7054166666666667,0.55625,7.011259313154643
84,crod_directional,0.028520748569716866,1,0.0,0.0,3.6067906064678884e-05,4.5084882580848605e-06,0.0,1.0,0.028484680663652187,1.0,1.0,1.0,0.4886277777777779,0.9554166666666667,0.026250000000000002,5.790671922482195
84,dino_best_rejected,0.028520748569716866,1,0.0,0.0,0.010615973211249744,0.001326996651406218,0.0,1.0,0.017904775358467122,1.0,1.0,1.0,0.4191083333333334,0.7954166666666667,0.011666666666666667,5.683359971306449
84,native_uncertainty_diverse,0.028520748569716866,1,0.0,0.0,0.00487636255039358,0.0006095453187991975,0.0,1.0,0.023644386019323286,1.0,0.75,0.75,0.08390555555555555,0.46375,0.3795833333333334,6.573867388421026
84,random_rejected,0.028520748569716866,1,0.0,0.0,0.014957384600437261,0.0018696730750546577,0.0,1.0,0.013563363969279605,1.0,0.25,0.25,0.03692916666666668,0.5408333333333333,0.6354166666666666,5.380038104405061
84,rejected_action_diverse,0.028520748569716866,1,0.0,0.0,0.014957384600437261,0.0018696730750546577,0.0,1.0,0.013563363969279605,1.0,0.375,0.375,0.08391111111111112,0.7054166666666667,0.55625,7.011259313154643
85,action_diverse,0.004361396950496172,1,0.0,0.0,0.0,0.0,0.0,1.0,0.004361396950496172,1.0,0.25,0.25,0.013825,0.515,0.6154166666666667,6.629374850401026
85,crod_directional,0.004361396950496172,1,0.0,0.0,0.0,0.0,0.0,1.0,0.004361396950496172,1.0,1.0,1.0,0.23272500000000002,0.9154166666666667,0.027083333333333334,5.449080306104485
85,dino_best_rejected,0.004361396950496172,1,0.0,0.0,0.0,0.0,0.0,1.0,0.004361396950496172,1.0,1.0,1.0,0.19442777777777775,0.72375,0.011666666666666667,5.611413705871186
85,native_uncertainty_diverse,0.004361396950496172,1,0.0,0.0,0.0,0.0,0.0,1.0,0.004361396950496172,1.0,0.125,0.125,0.0010222222222222202,0.48,0.56125,6.160824762251856
85,random_rejected,0.004361396950496172,1,0.0,0.0,0.0,0.0,0.0,1.0,0.004361396950496172,1.0,0.25,0.25,0.000765277777777777,0.2695833333333333,0.5158333333333334,5.3957129536835176
85,rejected_action_diverse,0.004361396950496172,1,0.0,0.0,0.0,0.0,0.0,1.0,0.004361396950496172,1.0,0.25,0.25,0.013825,0.515,0.6154166666666667,6.629374850401026
86,action_diverse,0.039854559320820056,1,0.0,0.0,0.00950013445955378,0.0011875168074442226,0.0,1.0,0.030354424861266275,1.0,0.0,0.0,0.0,0.73125,0.7795833333333333,5.24039891713079
86,crod_directional,0.039854559320820056,1,0.0,0.0,0.009436741646796188,0.0011795927058495235,0.0,1.0,0.030417817674023868,1.0,1.0,1.0,0.10076944444444444,0.6408333333333334,0.05916666666666667,4.1615125730506515
86,dino_best_rejected,0.039854559320820056,1,0.0,0.0,0.009112866574113074,0.0011391083217641342,0.0,1.0,0.030741692746706982,1.0,1.0,1.0,0.05908194444444444,0.27625,0.011666666666666667,4.050349382879679
86,native_uncertainty_diverse,0.039854559320820056,1,0.0,0.0,0.01015379484464806,0.0012692243555810076,0.0,1.0,0.029700764476171995,1.0,0.125,0.125,0.009223611111111111,0.61375,0.5125,4.900524322478865
86,random_rejected,0.039854559320820056,1,0.0,0.0,0.008145871625311725,0.0010182339531639656,0.0,1.0,0.03170868769550833,1.0,0.125,0.125,0.0004375,0.56,0.6591666666666667,4.322755220409958
