tag,task,seed,replan,phase,rho,recall,r_sel_cm,n
dino_push_l2,mw-push,41011,3,final,-0.5885628562856285,0.0,0.0,100
dino_push_l2,mw-push,41011,4,init,0.42373837383738366,0.0,0.0,100
dino_push_l2,mw-push,41011,4,final,-0.4148694869486948,0.0,0.0,100
dino_push_l2,mw-push,41011,5,init,0.41545754575457544,0.1,0.0,100
dino_push_l2,mw-push,41011,5,final,-0.0038043804380438044,0.1,0.0,100
dino_push_l2,mw-push,41011,6,init,-0.09033303330333033,0.0,0.0,100
dino_push_l2,mw-push,41011,6,final,0.2704470447044704,0.4,0.0,100
dino_push_l2,mw-push,41012,0,init,0.8477887788778877,0.8,0.0,100
dino_push_l2,mw-push,41012,0,final,0.20001200120012,0.2,0.09460598230362216,100
dino_push_l2,mw-push,41012,1,init,0.42432643264326425,0.2,1.9270777702331487,100
dino_push_l2,mw-push,41012,1,final,-0.3877227722772277,0.0,1.2633472681045506,100
dino_push_l2,mw-push,41012,2,init,-0.05874587458745874,0.1,5.20840585231781,100
dino_push_l2,mw-push,41012,2,final,-0.1646084608460846,0.0,0.0,100
dino_push_l2,mw-push,41012,3,init,0.21909390939093906,0.0,0.0,100
dino_push_l2,mw-push,41012,3,final,0.07687968796879688,0.1,0.0,100
dino_push_l2,mw-push,41012,4,init,0.5212001200120012,0.2,0.0,100
dino_push_l2,mw-push,41012,4,final,0.1137113711371137,0.0,0.0,100
dino_push_l2,mw-push,41012,5,init,0.4861806180618062,0.4,0.0,100
dino_push_l2,mw-push,41012,5,final,-0.002892289228922892,0.0,0.0,100
dino_push_l2,mw-push,41012,6,init,0.1776057605760576,0.2,0.0,100
dino_push_l2,mw-push,41012,6,final,0.000672067206720672,0.0,0.0,100
dino_push_l2,mw-push,41013,0,init,0.7258325832583258,0.3,0.0,100
dino_push_l2,mw-push,41013,0,final,-0.28780078007800775,0.0,0.0,100
dino_push_l2,mw-push,41013,1,init,0.031827182718271826,0.0,0.0,100
dino_push_l2,mw-push,41013,1,final,-0.6129252925292529,0.0,0.0,100
dino_push_l2,mw-push,41013,2,init,-0.39648364836483646,0.0,0.0,100
dino_push_l2,mw-push,41013,2,final,0.024554455445544552,0.0,0.0,100
dino_push_l2,mw-push,41013,3,init,0.3882508250825082,0.0,0.0,100
dino_push_l2,mw-push,41013,3,final,-0.019957995799579954,0.0,0.0,100
dino_push_l2,mw-push,41013,4,init,0.8118571857185718,0.3,0.0,100
dino_push_l2,mw-push,41013,4,final,0.04058805880588059,0.0,0.0,100
dino_push_l2,mw-push,41013,5,init,0.5808100810081007,0.1,0.0,100
dino_push_l2,mw-push,41013,5,final,-0.015085508550855083,0.0,0.0,100
dino_push_l2,mw-push,41013,6,init,-0.4299309930993099,0.0,0.0,100
dino_push_l2,mw-push,41013,6,final,-0.10235823582358233,0.0,0.0,100
dino_push_l2,mw-push,41014,0,init,0.6965016501650164,0.2,0.0,100
dino_push_l2,mw-push,41014,0,final,0.046240624062406234,0.0,0.0,100
dino_push_l2,mw-push,41014,1,init,0.12247224722472244,0.0,0.535380840301522,100
dino_push_l2,mw-push,41014,1,final,-0.17134113411341131,0.0,0.0,100
dino_push_l2,mw-push,41014,2,init,-0.19443144314431443,0.0,0.0,100
dino_push_l2,mw-push,41014,2,final,-0.5027062706270626,0.0,0.0,100
dino_push_l2,mw-push,41014,3,init,-0.04811281128112811,0.0,0.0,100
dino_push_l2,mw-push,41014,3,final,0.23974797479747972,0.0,0.0,100
dino_push_l2,mw-push,41014,4,init,0.6929852985298529,0.0,0.0,100
dino_push_l2,mw-push,41014,4,final,0.3882388238823882,0.0,0.0,100
dino_push_l2,mw-push,41014,5,init,0.7555955595559555,0.6,0.0,100
dino_push_l2,mw-push,41014,5,final,0.12399639963996398,0.0,0.0,100
dino_push_l2,mw-push,41014,6,init,0.5006660666066607,0.3,0.0,100
dino_push_l2,mw-push,41014,6,final,-0.12976897689768974,0.0,0.0,100
dino_push_l2,mw-push,41015,0,init,-0.3404380438043804,0.0,0.0,100
dino_push_l2,mw-push,41015,0,final,-0.8111371137113711,0.0,0.0,100
dino_push_l2,mw-push,41015,1,init,-0.7853345334533454,0.0,0.0,100
dino_push_l2,mw-push,41015,1,final,-0.1848064806480648,0.0,0.0,100
dino_push_l2,mw-push,41015,2,init,-0.563036303630363,0.0,0.0,100
dino_push_l2,mw-push,41015,2,final,-0.28050405040504045,0.0,0.0,100
dino_push_l2,mw-push,41015,3,init,-0.005256525652565256,0.0,0.0,100
dino_push_l2,mw-push,41015,3,final,0.08946894689468947,0.0,0.0,100
dino_push_l2,mw-push,41015,4,init,0.07197119711971196,0.0,0.0,100
dino_push_l2,mw-push,41015,4,final,-0.17525352535253522,0.0,0.0,100
dino_push_l2,mw-push,41015,5,init,0.0471047104710471,0.1,0.0,100
dino_push_l2,mw-push,41015,5,final,-0.11743174317431743,0.0,0.0,100
dino_push_l2,mw-push,41015,6,init,-0.023402340234023402,0.0,0.0,100
