snapshot,population,spearman_learned_true_latent,spearman_true_latent_physical,spearman_learned_physical,top10pct_recall_true_latent,top10pct_recall_physical,false_elite_rate_physical,dynamics_selection_regret_latent,representation_selection_regret_m,end_to_end_selection_regret_m,selected_physical_distance_m,latent_selected_physical_distance_m,oracle_physical_distance_m,candidate_headroom_m,start_physical_distance_m,oracle_improvement_m,selected_success,latent_selected_success,oracle_candidate_success,representation_success_gap,end_to_end_success_gap
19,final,-0.004833387037633751,0.7019251325014721,-0.02438604873387482,0.06666666666666667,0.06666666666666667,0.5333333333333333,384.2750549316406,0.007566051097058834,0.24214128913154856,0.26836802791128994,0.033792789876800206,0.02622673877974137,0.24045892767363522,0.2666839702933032,0.24045723151356183,0.0,1.0,1.0,0.0,1.0
19,initial,0.30558428426982515,-0.15187902087800975,0.07936621518016865,0.4,0.23333333333333334,0.5333333333333333,25.4232177734375,0.08124150560453436,0.08224158677908344,0.2689031349478998,0.2679030537733507,0.18666154816881636,0.08169527530064574,0.2666839702933032,0.08002242212448685,0.0,0.0,0.0,0.0,0.0
20,final,0.03314303492261025,0.6919827998088867,-0.02883765375170835,0.06666666666666667,0.1,0.5333333333333333,236.10450744628906,0.005760257854256903,0.07885958249789748,0.09566584776722813,0.02256652312358754,0.01680626526933064,0.07885921012765937,0.09555529762477336,0.07874903235544271,0.0,1.0,1.0,0.0,1.0
20,initial,0.3373939710441227,-0.13757219524661385,-0.12210402337803752,0.1,0.06666666666666667,0.6,282.77783203125,0.017248234318058678,0.011196795846231539,0.09555529762306639,0.10160673609489353,0.08435850177683485,0.011196795849479996,0.09555529762477336,0.011196795847938507,0.0,0.0,0.0,0.0,0.0
21,final,0.0009093434371493015,0.5306987855420615,0.10017222413582372,0.03333333333333333,0.1,0.36666666666666664,200.90533447265625,0.0006312033084701798,0.026752433593517904,0.029560506172672096,0.0034392758876243728,0.002808072579154193,0.023040968766054062,0.08660934663237009,0.0838012740532159,1.0,1.0,1.0,0.0,0.0
21,initial,0.5344952721696907,0.6692518805764508,0.22281536461516235,0.4,0.13333333333333333,0.43333333333333335,14.359695434570312,0.005434879699786721,0.017967526193066043,0.023398549018098312,0.01086590252481899,0.00543102282503227,0.032561207167942814,0.08660934663237009,0.08117832380733782,1.0,1.0,1.0,0.0,0.0
22,final,0.08839609328992543,0.3173253036144845,0.056344626051400566,0.16666666666666666,0.1,0.4,11.0550537109375,0.0007991267137159707,0.0020528909254552107,0.016368660537351597,0.015114896325612357,0.014315769611896387,0.0019152732651922869,0.03571471529010659,0.021398945678210206,1.0,1.0,1.0,0.0,0.0
22,initial,0.13658240647118303,0.4845200502227803,0.07838487094301047,0.2,0.23333333333333334,0.43333333333333335,79.49690246582031,0.019783392164393565,0.01089539975738438,0.020125209382558223,0.029013201789567407,0.009229809625173844,0.022043496611667303,0.03571471529010659,0.02648490566493275,1.0,1.0,1.0,0.0,0.0
23,final,0.10968744097156634,0.4247273858598428,0.034050600562228465,0.1,0.1,0.5333333333333333,73.69454193115234,0.036303011434057994,0.022229681562843894,0.03178287056760707,0.045856200438821174,0.009553189004763176,0.02947321324196688,0.26429913679627315,0.25474594779151,1.0,0.0,1.0,1.0,0.0
23,initial,0.5322876920854677,0.481689796553295,0.19558706207846752,0.5666666666666667,0.1,0.36666666666666664,21.084613800048828,0.04322320221242759,0.11634170181539986,0.11871065901284694,0.045592159409874676,0.0023689571974470826,0.08629072376292977,0.26429913679627315,0.2619301795988261,0.0,0.0,1.0,1.0,1.0
